"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1062","test_open_efms_home_page","tests.ui.efms","Tue Jun 09 04:41:11 UTC 2026","passed","Tue Jun 09 04:41:12 UTC 2026","","test_efms_home","",""
"","2319","test_open_etms_home_page","tests.ui.etms","Tue Jun 09 04:41:12 UTC 2026","passed","Tue Jun 09 04:41:14 UTC 2026","","test_etms_home","",""
